sup,eri,ont,mih,month,year
201.67858080398946,-74.62598376908147,656.8160268363465,4887.484578685926,10,2024
416.5706574894539,1107.9016105608453,1132.3679947371065,1924.6638478825719,11,2024
-1136.610247425223,611.6692838617952,1206.7062961086488,1149.0079020880382,12,2024
-991.7137361796531,434.74891606488353,807.7935108658193,954.7832495882585,1,2025
-422.3553487937447,2207.7124182242596,1910.929162230226,3547.3079590269354,2,2025
-758.801683884988,835.5538347586623,985.7990413874633,2422.506601879374,3,2025
519.354451806185,586.1157299615983,934.2967803777332,2515.1346016036787,4,2025
1036.0689013570561,262.6975957365479,515.1921513905238,2242.0436004257317,5,2025
202.00671257249746,-438.39464231647844,325.37791587483605,3781.0938298327687,10,2024
-588.9346458321534,-381.94661665133435,380.76045757523684,1416.408425863431,11,2024
-909.467099187943,551.4547018021196,986.4881877326782,588.8886827052479,12,2024
-1266.7083387178309,630.9306098785313,930.7168961868531,1382.0617761611134,1,2025
-620.0284184226957,218.47857372856083,458.6926395343487,364.5244113355029,2,2025
-9.200521854592125,1075.4237208728969,1005.9630896545077,2078.5507281688306,3,2025
1784.0412371439536,731.4743156131891,1319.9015879517578,2650.4082263033515,4,2025
1419.1082812130026,-298.60129840434115,546.7569811074333,1293.1119545503554,5,2025
-626.0401326491283,-629.0665093600967,205.07041247740756,-327.4293215352495,10,2024
1521.7512051061458,2226.0125938472975,1531.6026928965593,6761.434205624605,11,2024
-744.0191884693654,176.7595021733631,887.6684295724542,1288.0257605085367,12,2024
-897.4407654530128,553.2666655424985,1034.2052252621495,1500.9586838246948,1,2025
883.6040019021548,3228.8616429602916,2309.2554270579344,10253.427676417325,2,2025
12.305311278262707,1645.0948754253545,2140.9027223145254,5771.646786533837,3,2025
469.57512730312214,543.3984298616783,900.2289383067505,3133.812384236882,4,2025
1991.23354478073,454.5158608689459,895.2716671906646,2034.0423190099386,5,2025
276.3880650003325,157.86367661437168,1027.4636848905445,745.5778700239384,10,2024
888.1114234725037,419.98516219198,1018.7079961922443,603.4454096827503,11,2024
-1377.439799829287,502.7930462616324,1136.56911162297,1873.6916049767492,12,2024
-1090.9971582012708,1158.321554643695,1516.2756234819772,2349.696446585136,1,2025
-1174.0316949602702,230.23214860590383,950.0899851542098,1151.4964943017155,2,2025
1426.07001145989,2575.155530978879,1704.9027477493064,5269.240187778309,3,2025
453.0429937247818,593.479052686483,1098.9908323213417,2115.259670856609,4,2025
1173.281962327133,568.2479314359659,1107.97252596255,3005.430557396653,5,2025
-255.1186583993274,-490.2275929740608,512.558870375709,616.56176197686,10,2024
-893.8719422359909,690.9169849609792,1656.1431654346748,364.1738237230643,11,2024
37.101889835435486,648.0451157688276,956.3304933395607,2702.3122298314074,12,2024
-196.55478610451632,588.8096039843758,1035.7846001214893,2034.6893303027243,1,2025
-83.72386188415953,882.4853735960559,1078.530017742627,2147.8731588790693,2,2025
-1449.611197104285,1413.3804923287926,1386.426439966176,-121.67631147607972,3,2025
3443.1800400488723,1435.4893572145297,1843.3737186326603,7914.915421745512,4,2025
1127.4072906114284,1578.1650956759197,1660.3410559737813,4451.4696753724975,5,2025
1106.062641688231,-317.49489897101193,198.46732635849412,1005.0741310356359,10,2024
-1289.4668340992057,94.91146301637616,653.7307700164198,164.37460001858335,11,2024
326.5375755609912,731.7221126438874,1080.5755467387012,3186.7848181509944,12,2024
-801.9212794174437,15.106252907493626,975.2071227229502,425.0448413170002,1,2025
-283.8328377041096,3315.0346296534153,2211.2894009658057,4113.050787446387,2,2025
-275.7726061542844,1373.1491061887211,1770.0069988889782,3852.323634156787,3,2025
3515.4151013299343,1603.8440059278005,2005.5054388235076,8054.634508086305,4,2025
1514.0702746940844,315.0970015866893,493.3751212665801,929.8464006560548,5,2025
-754.4499753591681,-257.44459797452214,278.7877369047176,-373.32464382412763,10,2024
2917.4315826831325,228.34345898420008,461.8394192344365,1094.4556344180314,11,2024
-688.7343039765487,-188.65693588201884,825.1543223853305,461.4309064346089,12,2024
-530.69375758766,415.67899141300495,1116.4276886232497,1035.9813524650256,1,2025
806.4082678409744,3291.701958670375,2206.7636464821503,6312.059562040746,2,2025
-497.9640182434189,977.6278422240663,663.1259092374279,2264.388625905881,3,2025
1280.2826757177368,743.111961913804,974.4533086740356,3532.4282745451746,4,2025
547.5217670985056,606.2234855078569,907.2878376878887,394.6774083042433,5,2025
2014.0984235309415,-1036.8477806024102,-97.82948077982519,-13.89967863185484,10,2024
88.17363013772615,-591.7558525662114,441.06489622815207,-1141.5903599844532,11,2024
-147.9042750388869,-222.51733653338147,509.75656914844683,978.4006301825675,12,2024
-1199.1640991594563,1307.161339486021,1932.2842048794623,1952.3052757764028,1,2025
-1243.803681210286,1530.3084596366368,1450.3914827250264,2076.5963628258405,2,2025
-341.04022285245946,905.8670479352567,1106.4081400129771,2550.054882730989,3,2025
2745.5072632366523,2497.718450296912,2222.5618940851646,8970.906683991416,4,2025
527.691478856946,2317.974004797921,1662.9524264333138,4870.855476067125,5,2025
2559.772788802521,-922.4633503696909,121.03785276832673,277.3691687437572,10,2024
-790.5885035066403,1320.8569329189745,1407.9757059932526,2844.3628976156665,11,2024
380.1439892692174,1631.684519472165,1441.7051087579537,4978.146449868313,12,2024
-229.26752751838058,1007.4738420151583,1133.1329138665494,2735.197962436618,1,2025
-792.5013832531963,523.6467553951197,1141.0521135104839,549.8087093951576,2,2025
-1216.624156178501,2673.7038997495574,1895.3638159280838,3479.5130273855048,3,2025
762.7775113024823,2300.7121184855105,1571.9796236300112,4154.9651273621075,4,2025
2018.0361221853516,-145.16499180506742,521.1939122547989,2062.9224877219563,5,2025
2306.3998643956347,-232.90484497008606,136.49919090673484,4054.763259296863,10,2024
-930.1828706829097,43.637052495649186,1013.1650676186734,-664.3140207056813,11,2024
-1327.7022169587385,549.0746686348102,1265.184873930945,3153.2162709554,12,2024
-934.6029843351494,360.61929353259353,817.4924840104152,1255.7743553975672,1,2025
-334.10455779121094,451.91871657349617,914.3327988726517,1629.2392148307601,2,2025
516.2511389969511,1099.2096194463757,1332.111226081733,2848.044573990764,3,2025
2772.200773868901,803.9346368763003,1008.9778813277132,3901.0552939528648,4,2025
2028.3253144861305,483.2231491870528,552.6375398820941,1752.0397463726472,5,2025
-368.5577337922882,-680.5066097814331,315.92121701523274,-2545.2286564404612,10,2024
286.9516190822419,357.855049093806,713.9992176147996,3119.5098140437444,11,2024
-225.68319467201786,1834.2253883517265,1756.043694864555,3719.6511048979696,12,2024
1460.2360716098142,485.4939116523984,1072.028754480971,2882.836234960704,1,2025
-621.5114527841924,49.866603623685705,532.2340505650675,421.2394684940973,2,2025
523.9563568473244,2133.8016521648547,2094.3703452854884,5280.707836086703,3,2025
1231.292716399888,2290.6596445528207,2053.0505604239297,4865.102819654033,4,2025
2634.264657004838,1148.8360761892568,922.1722360948504,4330.998131058689,5,2025
-1110.6564194909952,-298.44613504661606,743.601472669543,-744.8350918746437,10,2024
-524.4844062177249,252.59110398064172,1149.0830602740623,4873.071938342904,11,2024
-811.8739235741145,1392.7034411683335,1490.1038848383314,3224.949340416862,12,2024
-426.2909150603764,729.5037344894771,1177.3503346087723,2358.184097106742,1,2025
431.32797268399236,2155.8122025456105,1749.145079265003,4202.653592376742,2,2025
-57.22807265405504,2181.176789857429,1822.6595486408357,3750.8860195831535,3,2025
2950.1719334658087,2723.817287664637,2055.7813954404546,8014.345201916198,4,2025
2566.2962146381547,424.5473941438816,812.0091772078426,2507.2042012928014,5,2025
421.4812719956824,-492.0541757277729,67.6452556946956,-599.8156661912008,10,2024
-1217.3428659986585,-488.770045838221,319.2920880536084,-1610.8433203318855,11,2024
-650.1612977028558,-15.437479713947823,589.9553839785696,1178.1057532177872,12,2024
-879.801972217751,47.61088118350392,753.4385300689082,-8.962923396716633,1,2025
-617.168382702142,1258.9005712147398,1230.944162887875,2391.816396540249,2,2025
-762.486860747812,1039.1632678265937,1428.128930484349,3387.034369768716,3,2025
290.96709451768606,886.8169589611592,1125.7154773199222,2099.6709185049103,4,2025
3680.9774377813083,633.806822585385,831.5162519228245,4714.711349793408,5,2025
-700.964720706243,-758.2188036821635,185.35095865014148,315.3136197821068,10,2024
262.6141074375905,1227.9908620359438,1571.502491297494,8405.95919336448,11,2024
77.5454426417939,1737.3493030928607,1608.1126850022874,3601.252454310088,12,2024
-697.6174171169123,371.4995701595013,1226.1673252908936,1712.6815079268804,1,2025
-992.5455832765647,576.2406934439439,832.8610272676608,1252.3656794955036,2,2025
-806.6581693404896,2628.5208221825537,2041.9896222262173,5207.920741573973,3,2025
-50.996454997071396,145.3566318579733,914.6242234455642,1942.0260823531821,4,2025
1635.8821756135628,394.87978872540015,635.4728652766248,2757.313558209855,5,2025
-707.8029578184992,-879.9341115760342,243.36174298919286,-1189.8122698140887,10,2024
304.5397794459054,-645.3587096087899,479.8408294731173,1714.5159750050425,11,2024
776.2320949510619,633.780250516501,999.7128673929309,3577.9097278225936,12,2024
