SU_ID,ER_ID,ON_ID,MIHU_ID
41041390,15609620,41028309,41013943
41041415,28033899,41028312,41013967
41041461,28033927,41028315,41013998
41041488,28033931,41028317,41014058
41041490,28033935,41028318,41014074
41041501,15604038,41028320,41014091
41041545,15604058,41028332,41014114
41041559,15604080,41028337,41014128
41041572,15604064,41028344,41014130
41041573,15604066,41028347,41014175
41041574,15604030,41028358,41014176
41041591,15604052,41028363,41014180
41041619,15604088,41028365,41014185
41041743,15604120,41028366,41014198
41041754,15604070,41028376,41014201
41041759,15604028,41028377,41014206
41041767,15604034,41028378,41014262
41041770,15604082,41028471,41014268
41041787,15604054,41028789,41014290
41041790,15604022,15561425,41014301
41041806,15594589,15561415,41014302
41041816,15594603,15559793,41014317
41041855,15596043,15560911,41014332
41041870,15594579,15559387,41014334
41041904,15594557,15558695,41014382
41041909,15594073,15558077,41014424
41041910,15596095,15558011,41014436
41041924,15596097,15558009,41014453
41041945,15596113,15559393,41014501
41041946,15596111,15559385,41014507
41041953,15596173,15558585,41014516
41041986,15594079,15558159,41014537
41042080,28125068,15558737,41014542
41042086,28125112,15558253,41014557
41042087,15588530,15558055,41014590
41042109,9857593,15558083,41014601
41042122,9857605,15558581,41014604
41042193,9858333,15559391,41014618
41042207,9858339,15559591,41014628
41042275,9858341,15559399,41014634
41042291,9858357,15559405,41014683
41042306,9858379,15559445,41014689
41042340,9858413,15559505,41014730
41042420,9858395,15559451,41014766
41042447,9858433,15559487,41014907
41042580,9858405,15559467,41014908
41042684,9858473,15559621,41014929
41042723,9858509,15559595,41014941
41042734,9857667,15559645,41014945
41042743,9857649,15559667,41014950
41042763,9857765,15559857,41014953
41042813,9857735,15559817,41014954
41042827,9858331,15559903,41014959
41042833,9858337,15561417,41014968
41042895,9858343,15561421,41014986
41042900,9858351,15558693,41014993
41042936,9858387,15559449,41015009
41042970,9858439,15559415,41015024
41043072,9858421,15559483,41015041
41043139,9858477,15559429,41015047
41043258,9858619,15559507,41015067
41043305,9859073,15559553,41015068
41043407,28123750,15559845,41015077
41043409,28123766,15559855,41015083
41043442,9848429,15561453,41015094
41043489,9841666,15561413,41015096
41043734,9840738,15558807,41015105
41043782,9840538,15537927,41015106
41043814,9840226,21632829,41015107
41043905,9840146,21632815,41015109
41043939,9839460,21631629,41015118
41043967,9839466,904140090,41015120
41043994,9839498,21631613,41015124
41044101,9840136,21632807,41015128
41044120,9840262,21632185,41015130
41044153,9840264,21631583,41015148
41044162,9840142,21631603,41015246
41044203,9840158,21631687,41015364
41044275,9840154,21631633,41015430
41044391,9840276,21631785,41015443
41044455,9840284,21631823,41015497
41044502,9840196,21631867,41015567
41044530,9840452,21632843,41015662
41044585,9840654,21632841,41015713
41044687,9840472,21632833,41015774
41044721,9840468,21632823,41015777
41044723,9840280,21632837,41015819
41044724,9840074,21632819,41015884
41044726,9839464,21632811,41015916
41044728,9839470,21632831,41015960
41044729,9839502,21632809,41016031
41044730,9839500,21632873,41016045
41044733,9840068,21632867,41016063
41044734,9840090,21632857,41016182
41044735,9840080,21633795,41016193
41044738,9840112,21633779,41016243
41044741,9840116,21632895,41016291
41044747,9840134,21632957,41016336
41044748,9840140,21632919,41016373
41044753,9840144,21632813,41016467
41044757,9840152,21632803,41016523
41044760,9840156,21633773,41016624
41044792,9840278,21633781,41016668
41044804,9840168,21632917,41016673
41044814,9840166,27809929,41016688
